sentence,category
hair cut 34868,Personal Care
vitamin 30324,Health
phone bill salli 13095,Utilities
perfume salli 28803,Personal Care
watch Rs.39037,Shopping
recharge Rs.42520,Utilities
other Rs.2482,Other
dialog 17192,Utilities
physio salli 18097,Health
gift 42780,Gifts & Charity
කොත්තු salli 17448,Food
අතින් ගියා 43902,Other
ayurvedic Rs.12810,Health
ayurvedic Rs.41793,Health
prepaid Rs.4376,Utilities
43693 investment,Finance
38132 udemy,Education
party salli 44622,Entertainment
පන්ති ගාස්තු Rs.12491,Education
general Rs.16899,Other
සෙල්ලම් කරන්න 28662,Entertainment
pharmacy salli 31872,Health
කොණ්ඩය කැපුවා Rs.18124,Personal Care
meat Rs.38898,Shopping
poth Rs.3404,Education
35719 ත්‍රීවීල්,Transport
ඩොක්ටර්ට 21927,Health
18444 garbage fee,Utilities
1723 youtube premium,Entertainment
dialog salli 9010,Utilities
6368 stock,Finance
නයි පියවන්න salli 21159,Finance
9046 hutch,Utilities
අතින් ගියා 27708,Other
recharge 11199,Utilities
cash Rs.9109,Other
ayurvedic salli 25762,Health
poth salli 19924,Education
41348 ගෑස්,Utilities
hoppers 30529,Food
hospital Rs.10420,Health
misc 40743,Other
19576 ෆිල්ම්,Entertainment
ණය salli 2316,Finance
බඩු ගත්තා salli 13334,Shopping
නිකම්ම 25224,Other
beer 37415,Entertainment
exam fee Rs.31906,Education
barber salli 7038,Personal Care
payment salli 44440,Finance
29542 pocket money,Other
charity Rs.28997,Gifts & Charity
beach 33873,Entertainment
other 43887,Other
credit card 32625,Finance
general Rs.2936,Other
බනිස් 37650,Food
misc salli 44304,Other
ආධාර Rs.21057,Gifts & Charity
trip Rs.36527,Entertainment
5959 pants,Shopping
42800 බෙහෙත් වලට,Health
online course salli 9804,Education
ලයිට් බිල salli 6366,Utilities
library Rs.38791,Education
highway toll Rs.24512,Transport
show 29765,Entertainment
වෙනත් salli 49389,Other
diesel salli 23261,Transport
බර්ත්ඩේ 14663,Gifts & Charity
29529 broadband,Utilities
leasing salli 36592,Finance
book 16833,Education
නිකම්ම Rs.5757,Other
16168 තෑගි,Gifts & Charity
degree salli 30234,Education
අතින් ගියා salli 9787,Other
4758 pen and paper,Education
රීලෝඩ් salli 33417,Utilities
recharge Rs.29094,Utilities
ayurvedic Rs.20409,Health
coursera salli 24938,Education
youtube premium 39095,Entertainment
රීලෝඩ් 47124,Utilities
club Rs.30056,Entertainment
bakery Rs.27039,Food
kewa salli 7804,Food
45543 pen and paper,Education
leasing 15533,Finance
poth 46536,Education
lost 43460,Other
online course salli 14428,Education
fiber 11610,Utilities
fiber salli 20976,Utilities
fitness Rs.24254,Health
බස් එකට salli 23035,Transport
doctor 40738,Health
electricity salli 35451,Utilities
bus salli 41208,Transport
panthi salli 40902,Education
operation 19632,Health
747 dansal,Gifts & Charity
cash salli 44044,Other
26643 cool drink,Food
biscuit salli 39505,Food
club 39639,Entertainment
45036 තෙල්,Transport
clinic 3063,Health
watch salli 48499,Shopping
29624 බර්ත්ඩේ,Gifts & Charity
පොත් වලට salli 26162,Education
34927 credit card,Finance
spent Rs.26590,Other
28359 රීලෝඩ්,Utilities
34398 beer,Entertainment
lunch salli 34639,Food
poth Rs.10598,Education
ඩිසල් Rs.18227,Transport
43353 loan,Finance
hair cut salli 32052,Personal Care
4954 cash,Other
5310 fitness,Health
perfume Rs.30200,Personal Care
rice bag 30323,Shopping
perfume salli 40920,Personal Care
adventure 43003,Entertainment
18166 postpaid,Utilities
broadband Rs.11593,Utilities
birthday salli 15303,Gifts & Charity
birthday Rs.3612,Gifts & Charity
pickme food salli 7701,Food
university salli 25801,Education
40761 subway,Food
physio salli 32486,Health
1231 stock,Finance
stationary salli 37614,Education
2313 vegetables,Shopping
dhal salli 45062,Shopping
26841 fitness,Health
broadband Rs.23004,Utilities
tire change 45410,Transport
watch 44834,Shopping
crypto salli 43853,Finance
47170 alms,Gifts & Charity
අතින් ගියා Rs.38005,Other
ෆිල්ම් Rs.23975,Entertainment
shaving 21542,Personal Care
shaving salli 36131,Personal Care
sugar salli 9877,Shopping
milk powder Rs.9060,Shopping
medicine salli 10819,Health
වෙනත් salli 43676,Other
grocery Rs.19093,Shopping
මුදල් Rs.36863,Other
leasing Rs.3069,Finance
ජිම් එකට 5624,Personal Care
බත් Rs.23102,Food
ayurvedic 14289,Health
electricity Rs.10898,Utilities
35109 grocery,Shopping
other salli 3249,Other
kewa Rs.36302,Food
මුදල් salli 24982,Other
keells salli 47342,Shopping
car wash Rs.31558,Transport
garbage fee Rs.24519,Utilities
grocery 10650,Shopping
perfume salli 41258,Personal Care
අතමාරු ගත්තා 16475,Finance
stationary salli 28092,Education
7650 cool drink,Food
finance Rs.38770,Finance
සපත්තු salli 11875,Shopping
39015 චැනලින්,Health
වෙනත් salli 2753,Other
university 48648,Education
මේකප් 21505,Personal Care
වෙනත් Rs.32523,Other
අතින් ගියා Rs.25736,Other
16180 fitness,Health
5313 අතින් ගියා,Other
mobitel salli 35680,Utilities
youtube premium 1080,Entertainment
donation Rs.45172,Gifts & Charity
42850 beheth,Health
tire change 6298,Transport
hair color Rs.19345,Personal Care
beauty salli 44090,Personal Care
4087 interest,Finance
makeup Rs.9073,Personal Care
broadband 36256,Utilities
credit card 46242,Finance
helping salli 9191,Gifts & Charity
stock Rs.39878,Finance
තෑගි Rs.4493,Gifts & Charity
channeling Rs.40214,Health
religious salli 44988,Gifts & Charity
tax salli 14523,Finance
prepaid Rs.11179,Utilities
kitchen items 17574,Shopping
bakery Rs.31400,Food
dansal salli 33323,Gifts & Charity
2839 අතින් ගියා,Other
45554 චැනලින්,Health
නිකම්ම Rs.2403,Other
show 15521,Entertainment
show salli 8712,Entertainment
gas salli 10317,Utilities
exam fee salli 43832,Education
49479 bag,Shopping
shaving Rs.36871,Personal Care
pharmacy Rs.40656,Health
කොත්තු 29299,Food
33743 grocery,Shopping
insurance 34969,Finance
45324 other,Other
misc Rs.6420,Other
present Rs.43230,Gifts & Charity
බඩු ගත්තා Rs.14050,Shopping
bank fee salli 7499,Finance
hoppers salli 29071,Food
auto Rs.7330,Transport
cash salli 6286,Other
32812 bag,Shopping
ට්‍රිප් 16702,Entertainment
22343 පන්ති ගාස්තු,Education
drink salli 20035,Food
බෙහෙත් වලට salli 30438,Health
milk powder 13508,Shopping
keells salli 20985,Shopping
pickme food Rs.45183,Food
විභාග ගාස්තු Rs.36522,Education
internet Rs.49569,Utilities
27127 wade,Food
කෝස් එකට salli 9382,Education
cool drink 17298,Food
vitamin Rs.21075,Health
බඩු ගත්තා Rs.47668,Shopping
43341 coffee,Food
8076 dental,Health
perfume salli 10138,Personal Care
269 current bill,Utilities
class fee salli 36041,Education
donation Rs.31633,Gifts & Charity
22701 tire change,Transport
leasing 814,Finance
other Rs.18246,Other
season salli 43730,Transport
stock Rs.11085,Finance
lab salli 20438,Health
5735 auto,Transport
20607 පොත් වලට,Education
30429 season,Transport
present 18105,Gifts & Charity
ෆාමසි Rs.25094,Health
pizza 24504,Food
විනෝදෙට Rs.47761,Entertainment
street food Rs.23423,Food
දවල් කෑමට Rs.7932,Food
perfume 8532,Personal Care
දානය Rs.6521,Gifts & Charity
11146 interest,Finance
47497 cinema,Entertainment
general 15904,Other
shoppin salli 3087,Shopping
1452 සපත්තු,Shopping
mobitel salli 44397,Utilities
බිල් එකට salli 34632,Utilities
don't know Rs.15473,Other
arpico salli 16032,Shopping
book Rs.19702,Education
නිකම්ම Rs.47610,Other
11148 trip,Entertainment
49457 තෙල්,Transport
unknown 30005,Other
pocket money Rs.27403,Other
5542 bank fee,Finance
lost Rs.6018,Other
car wash salli 43674,Transport
අතින් ගියා 31427,Other
මේකප් Rs.37948,Personal Care
බර්ත්ඩේ salli 19070,Gifts & Charity
spent 22346,Other
beer Rs.15735,Entertainment
13799 ubereats,Food
birthday 40443,Gifts & Charity
barber salli 27883,Personal Care
pin salli 7517,Gifts & Charity
recharge salli 38382,Utilities
beheth Rs.32879,Health
ඇඳුම් ගත්තා Rs.44585,Shopping
pizza Rs.6436,Food
gym Rs.48654,Personal Care
13486 medicine,Health
gas 38654,Utilities
watch salli 21649,Shopping
recharge 41218,Utilities
33616 outing,Entertainment
daraz salli 31687,Shopping
present Rs.39125,Gifts & Charity
bill 45957,Utilities
fish salli 17381,Shopping
other 12485,Other
46590 body lotion,Personal Care
6020 auto,Transport
11481 vacation,Entertainment
31935 gift,Gifts & Charity
outing salli 31989,Entertainment
helping salli 45172,Gifts & Charity
අතින් ගියා salli 15442,Other
car wash 27692,Transport
class fee salli 8605,Education
8519 petrol,Transport
match ticket Rs.27861,Entertainment
shoes salli 32450,Shopping
soap salli 11767,Personal Care
shampoo salli 34470,Shopping
milk powder salli 41303,Shopping
parking salli 47292,Transport
සපත්තු Rs.3423,Shopping
short eats salli 23115,Food
alms Rs.3083,Gifts & Charity
ෆාමසි 2227,Health
47213 hospital,Health
car wash 3469,Transport
17838 medicine,Health
body lotion 11937,Personal Care
24648 vacation,Entertainment
36015 නිකම්ම,Other
clinic 2071,Health
fish 6412,Shopping
leasing Rs.26595,Finance
30997 බනිස්,Food
finance salli 31206,Finance
medicine Rs.34431,Health
21807 lunch,Food
fare Rs.43380,Transport
පොත් වලට salli 30476,Education
10315 coursera,Education
චැනලින් salli 5173,Health
16061 offer,Gifts & Charity
credit card Rs.7884,Finance
28644 operation,Health
season 18934,Transport
ෆාමසි salli 37104,Health
cash salli 14450,Other
බර්ත්ඩේ salli 14207,Gifts & Charity
2022 diesel,Transport
බර්ත්ඩේ Rs.45881,Gifts & Charity
kema Rs.12423,Food
spa 41888,Personal Care
snacks 32973,Food
10242 shoppin,Shopping
investment salli 11639,Finance
5368 leasing,Finance
18891 bag,Shopping
birthday salli 44032,Gifts & Charity
13130 ඉන්ෂුවරන්ස්,Finance
library Rs.20030,Education
bank fee Rs.9397,Finance
15282 ඩොක්ටර්ට,Health
5358 කෑම,Food
hospital Rs.22498,Health
stock Rs.43712,Finance
කෝස් එකට salli 2028,Education
don't know Rs.21579,Other
13804 petrol,Transport
eye check salli 31469,Health
11665 stock,Finance
donation salli 36997,Gifts & Charity
general Rs.13963,Other
24219 බනිස්,Food
charity Rs.2159,Gifts & Charity
skincare 39274,Personal Care
3692 ඩිසල්,Transport
42568 අතින් ගියා,Other
pickme food salli 13609,Food
concert 39122,Entertainment
කෑම Rs.23041,Food
පන්ති ගාස්තු salli 334,Education
soap salli 44036,Shopping
kitchen items salli 5698,Shopping
ayurvedic salli 13850,Health
beauty 9547,Personal Care
49794 recharge,Utilities
class fee Rs.35726,Education
vegetables salli 33761,Shopping
16028 rice and curry,Food
finance Rs.29932,Finance
ayurvedic salli 18564,Health
35848 පෑන් පැන්සල්,Education
21890 මුදල්,Other
birthday Rs.40209,Gifts & Charity
37888 trimming,Personal Care
පෙට්‍රල් salli 39185,Transport
coffee 13526,Food
misc salli 30841,Other
hair cut 24127,Personal Care
බනිස් 31952,Food
cash 16394,Other
university 38719,Education
degree 42843,Education
49860 pharmacy,Health
ayurvedic salli 43159,Health
බෙහෙත් වලට salli 36979,Health
බඩු ගත්තා Rs.16275,Shopping
සැලෝන් එකට Rs.21487,Personal Care
exam fee 3791,Education
diesel 48660,Transport
online course Rs.8380,Education
hoppers salli 29103,Food
body lotion 3762,Personal Care
misc Rs.359,Other
කඩෙන් කෑවා salli 41269,Food
මුදල් Rs.10698,Other
recharge 9082,Utilities
3166 දානය,Gifts & Charity
kema Rs.33692,Food
28954 මුදල්,Other
වතුර බිල Rs.9208,Utilities
eye check 44205,Health
37339 highway toll,Transport
soap 39365,Shopping
arpico 36515,Shopping
සැලෝන් එකට salli 28692,Personal Care
9936 birthday,Gifts & Charity
train 43618,Transport
pin salli 2661,Gifts & Charity
hotel bill 43916,Food
පන්ති ගාස්තු salli 30790,Education
library 13479,Education
සෙල්ලම් කරන්න Rs.44926,Entertainment
charity Rs.147,Gifts & Charity
16066 office go,Transport
religious salli 135,Gifts & Charity
පොත් වලට 18291,Education
අතමාරුව 11553,Finance
3904 water bill,Utilities
පෑන් පැන්සල් Rs.48338,Education
daraz Rs.30107,Shopping
wedding 32198,Gifts & Charity
24690 gas,Utilities
9311 water bill,Utilities
netflix salli 37169,Entertainment
49228 doctor,Health
අතමාරු ගත්තා Rs.44410,Finance
නිකම්ම 1637,Other
28432 චැනලින්,Health
තේ බොන්න Rs.47788,Food
23812 hutch,Utilities
ගෑස් Rs.45930,Utilities
gift Rs.1203,Gifts & Charity
religious salli 9591,Gifts & Charity
කෝච්චියට 30858,Transport
general 6335,Other
පින් වලට Rs.6871,Gifts & Charity
exam fee salli 2447,Education
liquor 19518,Entertainment
බඩු ගත්තා 17768,Shopping
medicine salli 27124,Health
bill 31688,Utilities
lost 31547,Other
5991 short eats,Food
කොණ්ඩය කැපුවා salli 49525,Personal Care
19256 highway toll,Transport
barber Rs.9164,Personal Care
taxi Rs.23606,Transport
40427 tuition,Education
electricity salli 14374,Utilities
pickme food salli 33317,Food
shoppin 16318,Shopping
unknown salli 46415,Other
1715 pocket money,Other
netflix Rs.28987,Entertainment
hair cut salli 15323,Personal Care
tea Rs.47618,Food
පින් වලට salli 21851,Gifts & Charity
beheth 25271,Health
short eats salli 41640,Food
රෑ කෑම salli 19074,Food
34250 කොත්තු,Food
general 28351,Other
interest 7208,Finance
donation salli 22154,Gifts & Charity
channeling Rs.33305,Health
workshop 2677,Education
tax 11591,Finance
investment 19521,Finance
25144 අතමාරු ගත්තා,Finance
panadol 36727,Health
don't know salli 36149,Other
finance 31012,Finance
ලයිට් බිල 44244,Utilities
19253 පින් වලට,Gifts & Charity
payment salli 24401,Finance
restaurant 8628,Food
trip 30164,Entertainment
නයි පියවන්න 25872,Finance
panthi salli 27645,Education
ලෝන් එකට Rs.42641,Finance
garbage fee Rs.41735,Utilities
ඩිසල් Rs.3752,Transport
49469 ජිම් එකට,Personal Care
ගෑස් Rs.10818,Utilities
channeling salli 28066,Health
subway Rs.9147,Food
23917 pickme food,Food
short eats salli 27715,Food
25771 පෑන් පැන්සල්,Education
මේකප් Rs.32831,Personal Care
ඉන්ෂුවරන්ස් 11944,Finance
ණය 7960,Finance
පොත් වලට 20743,Education
49608 kewa,Food
විනෝදෙට salli 38902,Entertainment
taxi salli 40150,Transport
ඩිසල් salli 40481,Transport
වෙනත් Rs.32277,Other
coursera Rs.46352,Education
බඩු ගත්තා 44850,Shopping
hospital 48567,Health
29378 soap,Personal Care
gaming 32942,Entertainment
අතමාරුව salli 47952,Finance
general 19246,Other
crypto 35213,Finance
charity 18333,Gifts & Charity
book salli 3044,Education
47315 trip,Entertainment
ආධාර Rs.3371,Gifts & Charity
workshop 10564,Education
beauty Rs.38830,Personal Care
car wash 13176,Transport
මුදල් 22343,Other
26588 garbage fee,Utilities
17743 makeup,Personal Care
soap Rs.37370,Shopping
ලෝන් එකට Rs.2539,Finance
garbage fee 37947,Utilities
30156 ලෝන් එකට,Finance
ගෑස් 13200,Utilities
dhal Rs.27439,Shopping
facewash Rs.4503,Personal Care
36166 විනෝදෙට,Entertainment
28850 don't know,Other
ayurvedic Rs.17462,Health
wade 6470,Food
ආධාර Rs.6646,Gifts & Charity
පින් වලට 24427,Gifts & Charity
බිල් එකට 11213,Utilities
බෙහෙත් වලට Rs.43882,Health
පොත් වලට salli 24264,Education
4990 cinema,Entertainment
insurance Rs.19696,Finance
auto Rs.27770,Transport
මේකප් Rs.22900,Personal Care
religious Rs.8438,Gifts & Charity
38879 පෙට්‍රල්,Transport
wifi Rs.24248,Utilities
39347 sugar,Shopping
train salli 4714,Transport
garbage fee salli 18093,Utilities
home rent Rs.20008,Utilities
gym 38845,Personal Care
netflix Rs.28776,Entertainment
liquor Rs.10410,Entertainment
ෆිල්ම් Rs.905,Entertainment
නිකම්ම salli 43582,Other
lost Rs.6467,Other
trip Rs.25053,Entertainment
soap Rs.45169,Personal Care
hotel bill salli 11241,Food
leasing Rs.46753,Finance
pants 31782,Shopping
වෙනත් Rs.37261,Other
panthi salli 18704,Education
dentist 12429,Health
kema salli 18157,Food
lost 22420,Other
barber salli 28893,Personal Care
46989 pin,Gifts & Charity
tax 6661,Finance
29304 course,Education
snacks Rs.14244,Food
29858 ඇඳුම් ගත්තා,Shopping
පන්ති ගාස්තු salli 40715,Education
rice and curry 920,Food
gift salli 20793,Gifts & Charity
25685 misc,Other
කෝස් එකට 37041,Education
taxi Rs.18637,Transport
27724 postpaid,Utilities
32767 කෑම,Food
dhal salli 34725,Shopping
meat 44304,Shopping
body lotion Rs.16783,Personal Care
pants salli 20806,Shopping
body lotion 28357,Personal Care
පින් වලට 48062,Gifts & Charity
13796 insurance,Finance
මුදල් Rs.12748,Other
show salli 17456,Entertainment
course Rs.26568,Education
course Rs.43982,Education
කඩෙන් කෑවා salli 41289,Food
wifi salli 7555,Utilities
credit card salli 27532,Finance
shoppin 48656,Shopping
පෙට්‍රල් salli 23042,Transport
fitness Rs.47744,Health
49058 other,Other
religious salli 12905,Gifts & Charity
46470 ඩිසල්,Transport
බත් salli 17709,Food
breakfast Rs.42636,Food
36661 hutch,Utilities
soap 24736,Personal Care
රීලෝඩ් salli 24177,Utilities
home rent 21823,Utilities
alms Rs.45156,Gifts & Charity
operation Rs.43405,Health
spotify salli 22298,Entertainment
data salli 19469,Utilities
offer Rs.36184,Gifts & Charity
kottu salli 49671,Food
47721 පෙට්‍රල්,Transport
බෙහෙත් වලට salli 22814,Health
pickme 33552,Transport
3333 beer,Entertainment
hutch Rs.41848,Utilities
13527 alms,Gifts & Charity
31949 soap,Personal Care
gaming Rs.16773,Entertainment
clinic 47663,Health
threewheel Rs.21646,Transport
26819 supermarket,Shopping
වෙනත් 40847,Other
fitness Rs.36938,Health
concert 45964,Entertainment
33611 kewa,Food
gift Rs.47539,Gifts & Charity
ෆිල්ම් salli 38873,Entertainment
bag Rs.45307,Shopping
coursera salli 21511,Education
investment 15603,Finance
35158 pocket money,Other
16022 soap,Personal Care
10009 restaurant,Food
lost Rs.11832,Other
parking 13348,Transport
41254 spent,Other
රෑ කෑම Rs.23718,Food
14226 ත්‍රීවීල්,Transport
soap 6871,Personal Care
sugar Rs.5116,Shopping
සැලෝන් එකට 1240,Personal Care
soap salli 607,Personal Care
donation salli 18549,Gifts & Charity
විභාග ගාස්තු salli 47119,Education
31133 office go,Transport
panthi salli 45366,Education
24398 පොත් වලට,Education
netflix salli 32160,Entertainment
කෝස් එකට 20182,Education
gift Rs.42466,Gifts & Charity
course Rs.15680,Education
ත්‍රීවීල් Rs.18593,Transport
lost Rs.21777,Other
27887 misc,Other
postpaid 2214,Utilities
41339 shaving,Personal Care
eye check 37757,Health
vitamin 44432,Health
43893 spent,Other
cinema 49460,Entertainment
46715 pizza,Food
hotel bill Rs.41710,Food
other salli 25839,Other
unknown 15566,Other
mobitel 24162,Utilities
ට්‍රිප් salli 29146,Entertainment
salon 6657,Personal Care
panthi Rs.23674,Education
අතින් ගියා salli 23524,Other
concert Rs.34434,Entertainment
kema 16861,Food
2292 තෙල්,Transport
unknown Rs.9592,Other
degree 12838,Education
broadband 9466,Utilities
taxi Rs.48866,Transport
furniture Rs.34230,Shopping
චැනලින් salli 43130,Health
15948 skincare,Personal Care
data Rs.20875,Utilities
14952 කෝච්චියට,Transport
cool drink 37061,Food
keells salli 3532,Shopping
ලයිට් බිල Rs.49695,Utilities
14191 hospital,Health
tuition salli 26127,Education
hutch 43758,Utilities
gift salli 32771,Gifts & Charity
20977 spa,Personal Care
car wash 34612,Transport
home rent 4811,Utilities
show 46066,Entertainment
reload salli 43443,Utilities
panadol Rs.17319,Health
donation 31215,Gifts & Charity
present salli 46426,Gifts & Charity
beer 13370,Entertainment
16288 degree,Education
other salli 31108,Other
fiber Rs.39328,Utilities
pickme food Rs.33685,Food
other 32252,Other
අතමාරු ගත්තා Rs.37213,Finance
religious Rs.38006,Gifts & Charity
44904 dialog,Utilities
බත් salli 31526,Food
electricity 268,Utilities
21770 අතමාරුව,Finance
6300 crypto,Finance
32197 slt bill,Utilities
5000 විනෝදෙට,Entertainment
3623 විභාග ගාස්තු,Education
adventure Rs.22917,Entertainment
kema Rs.30858,Food
27270 donation,Gifts & Charity
28815 spotify,Entertainment
33746 channeling,Health
16925 beach,Entertainment
lost Rs.3255,Other
4277 ඩොක්ටර්ට,Health
39646 perfume,Personal Care
eye check Rs.17332,Health
body lotion salli 22512,Personal Care
ආධාර salli 40524,Gifts & Charity
skincare 2319,Personal Care
සැලෝන් එකට salli 2104,Personal Care
තෙල් Rs.29122,Transport
reload salli 1030,Utilities
18246 දවල් කෑමට,Food
finance Rs.37297,Finance
spent salli 22687,Other
vehicle repair salli 6880,Transport
meat 44034,Shopping
hair cut salli 21325,Personal Care
හොස්පිට්ල් 5726,Health
gas 43184,Utilities
pocket money salli 20687,Other
hospital salli 14548,Health
ඉන්ෂුවරන්ස් Rs.16450,Finance
5051 ආධාර,Gifts & Charity
නිකම්ම 16372,Other
35484 pocket money,Other
36833 lost,Other
furniture salli 17705,Shopping
අතින් ගියා Rs.44370,Other
46123 wade,Food
barber Rs.20090,Personal Care
movie Rs.27369,Entertainment
ඉන්ෂුවරන්ස් Rs.42439,Finance
shoes 2503,Shopping
ආධාර Rs.11669,Gifts & Charity
බිල් එකට Rs.14442,Utilities
health insurance 28683,Health
18209 kitchen items,Shopping
pocket money salli 18753,Other
32346 cinema,Entertainment
beauty Rs.33043,Personal Care
37567 birthday,Gifts & Charity
clinic salli 27837,Health
13329 loan,Finance
16737 rice and curry,Food
pen and paper salli 190,Education
